Timestamp,Pitch,Q,Roll,DegC,Conductivity,Turbidity,mg/L,uM,Level,Dayofweek,Hourofday,Month,,
2016-12-08T12:00:00,0.121846154,-48.59130769,0.031230769,33.48090909,,,0.341,24.35,10.42076923,3,12,12,,
2016-12-08T16:00:00,0.109083333,41.28220833,0.02675,31.42421053,,,0.448,32,10.69458333,3,16,12,,375.7
2016-12-08T20:00:00,0.10325,94.51175,0.0275,29.44181818,,0.5,0.253,18.05,9.792083333,3,20,12,,
2016-12-09T00:00:00,0.111104167,50.49304167,0.026208333,27.93444444,,8.252272727,0.06,4.25,9.547083333,4,0,12,,
2016-12-09T04:00:00,0.118958333,6.474333333,0.024916667,27.42052632,,16.00454545,0.32425,23.15,10.43291667,4,4,12,,
2016-12-09T08:00:00,0.1116,73.4196,0.0286,33.96,,23.75681818,0.207,14.8,9.875,4,8,12,,
2016-12-09T12:00:00,0.115714286,-54.60542857,0.031857143,34.08789474,,31.50909091,0.159,11.32,9.898333333,4,12,12,,
2016-12-09T16:00:00,0.101791667,11.091625,0.025791667,31.32705882,,39.26136364,0.51075,36.475,10.75083333,4,16,12,,
2016-12-09T20:00:00,0.095375,81.6985,0.02425,28.55458333,,47.01363636,0.3065,21.9,9.916666667,4,20,12,,
2016-12-10T00:00:00,0.1058875,22.239525,0.025075,26.11666667,,54.76590909,0.324625,23.2,9.365833333,5,0,12,,
2016-12-10T04:00:00,0.1164,-37.21945,0.0259,25.98714286,,62.51818182,0.34275,24.5,10.51875,5,4,12,,
2016-12-10T08:00:00,0.107153846,41.15746154,0.024615385,31.84045455,,70.27045455,0.282,20.13333333,10.14708333,5,8,12,,
2016-12-10T12:00:00,0.1,-57.711,0.03,33.72578947,,78.02272727,0.173,12.3,9.690833333,5,12,12,,
2016-12-10T16:00:00,0.098125,-32.95454167,0.026791667,31.481,,85.775,0.4885,34.875,10.75875,5,16,12,,
2016-12-10T20:00:00,0.096916667,72.794,0.025,29.36458333,,143.62,0.321666667,22.96666667,10.11666667,5,20,12,,
2016-12-11T00:00:00,0.104958333,-10.52611765,0.024647059,28.14684211,,201.465,0.366,26.13333333,9.322916667,6,0,12,,
2016-12-11T04:00:00,0.113,-93.84623529,0.024294118,27.35454545,,259.31,0.410333333,29.3,10.49541667,6,4,12,,
2016-12-11T08:00:00,0.10365,55.8777,0.02115,31.5025,,317.155,0.42825,30.575,10.54625,6,8,12,,
2016-12-11T12:00:00,0.102234091,-7.481286364,0.021984091,32.5715,,375,0.415375,29.6625,9.663333333,6,12,12,,
2016-12-11T16:00:00,0.100818182,-70.84027273,0.022818182,29.78333333,,,0.4025,28.75,10.69666667,6,16,12,,
2016-12-11T20:00:00,0.104705882,85.98358824,0.022294118,27.73625,,375.7,0.363,25.9,10.43583333,6,20,12,,
2016-12-12T00:00:00,0.112602941,-28.39352731,0.021504202,26.89375,,1.4,0.336166667,24,9.415416667,0,0,12,,
2016-12-12T04:00:00,0.1205,-142.7706429,0.020714286,26.14416667,,2.8,0.309333333,22.1,10.34041667,0,4,12,,
2016-12-12T08:00:00,0.111791667,58.61191667,0.019208333,27.15619048,,2.747777778,0.5425,38.75,11.05875,0,8,12,,
2016-12-12T12:00:00,0.1165,105.41975,0.02325,29.767,,2.695555556,0.2025,14.45,9.83125,0,12,12,,
2016-12-12T16:00:00,0.120058824,-75.02647059,0.020529412,29.15130435,,2.643333333,0.2315,16.5,10.425,0,16,12,,
